dataset,reader,query_id,hop_count,question_type,single_candidate_count,composed_candidate_count,baseline_answer_f1,best_single_delta_answer,best_composed_delta_answer,strict_synergy_answer,composition_only_positive_answer,best_single_id_answer,best_composed_id_answer,best_composed_depth_answer,synergistic_answer_eps_0p0,synergistic_answer_eps_0p01,synergistic_answer_eps_0p02,baseline_sp_f1,best_single_delta_sp,best_composed_delta_sp,strict_synergy_sp,composition_only_positive_sp,best_single_id_sp,best_composed_id_sp,best_composed_depth_sp,synergistic_sp_eps_0p0,synergistic_sp_eps_0p01,synergistic_sp_eps_0p02,baseline_joint_f1,best_single_delta_joint,best_composed_delta_joint,strict_synergy_joint,composition_only_positive_joint,best_single_id_joint,best_composed_id_joint,best_composed_depth_joint,synergistic_joint_eps_0p0,synergistic_joint_eps_0p01,synergistic_joint_eps_0p02
hotpotqa_v15_exploratory,flan,5a7151cd5542994082a3e7c6,unknown,unknown,3,12,0.0,1.0,1.0,0.0,0,beam_repair:f954b05c6da4500a,beam_repair:dfd081af96538cba,2,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:f954b05c6da4500a,beam_repair:dfd081af96538cba,2,0,0,0,0.0,0.5,0.5,0.0,0,beam_repair:f954b05c6da4500a,beam_repair:dfd081af96538cba,2,0,0,0
hotpotqa_v15_exploratory,flan,5a7273c35542997f827839dd,unknown,unknown,2,12,1.0,0.0,0.0,0.0,0,beam_repair:d3393c13939ad7f2,beam_repair:f18b0df9c7ee7949,3,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:d3393c13939ad7f2,beam_repair:f18b0df9c7ee7949,3,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:d3393c13939ad7f2,beam_repair:f18b0df9c7ee7949,3,0,0,0
hotpotqa_v15_exploratory,flan,5a73d026554299623ed4ac61,unknown,unknown,0,13,0.0,0.0,1.0,1.0,1,,beam_repair:dbd8503783839dac,2,1,1,1,0.4,0.0,0.0,0.0,0,,beam_repair:e595d2a1adf8d24c,3,0,0,0,0.0,0.0,0.4,0.4,1,,beam_repair:dbd8503783839dac,2,1,1,1
hotpotqa_v15_exploratory,flan,5a76d8de55429972597f13e4,unknown,unknown,12,3,0.0,0.0,0.0,0.0,0,beam_repair:f6d34f21f35c027b,beam_repair:f0ee72d94ee50b7f,2,0,0,0,0.3333333333333333,0.06666666666666671,0.06666666666666671,0.0,0,beam_repair:c29994e56be1194d,beam_repair:f0ee72d94ee50b7f,2,0,0,0,0.0,0.0,0.0,0.0,0,beam_repair:f6d34f21f35c027b,beam_repair:f0ee72d94ee50b7f,2,0,0,0
hotpotqa_v15_exploratory,flan,5a771ffe5542993569682cd7,unknown,unknown,1,13,1.0,0.0,0.0,0.0,0,beam_repair:4abbf3c3c668fb23,beam_repair:cca729a60ea334ae,2,0,0,0,1.0,0.0,0.0,0.0,0,beam_repair:4abbf3c3c668fb23,beam_repair:cca729a60ea334ae,2,0,0,0,1.0,0.0,0.0,0.0,0,beam_repair:4abbf3c3c668fb23,beam_repair:cca729a60ea334ae,2,0,0,0
hotpotqa_v15_exploratory,flan,5a775761554299373536023c,unknown,unknown,1,14,0.4,0.0,0.0,0.0,0,beam_repair:0578b1c9361f6664,beam_repair:f83a4d823d072411,3,0,0,0,0.3333333333333333,0.06666666666666671,0.06666666666666671,0.0,0,beam_repair:0578b1c9361f6664,beam_repair:f83a4d823d072411,3,0,0,0,0.14285714285714288,0.02380952380952378,0.02380952380952378,0.0,0,beam_repair:0578b1c9361f6664,beam_repair:f83a4d823d072411,3,0,0,0
hotpotqa_v15_exploratory,flan,5a77802155429967ab1051da,unknown,unknown,0,15,0.6666666666666666,0.0,0.0,0.0,0,,beam_repair:ffe614cbb7482a57,2,0,0,0,1.0,0.0,0.0,0.0,0,,beam_repair:ffe614cbb7482a57,2,0,0,0,0.6666666666666666,0.0,0.0,0.0,0,,beam_repair:ffe614cbb7482a57,2,0,0,0
hotpotqa_v15_exploratory,flan,5a792b2b554299029c4b5f16,unknown,unknown,0,9,0.15384615384615385,0.0,0.0,0.0,0,,beam_repair:f4f48518c0bcc77a,3,0,0,0,0.5,0.0,0.0,0.0,0,,beam_repair:f4f48518c0bcc77a,3,0,0,0,0.07692307692307693,0.0,0.0,0.0,0,,beam_repair:f4f48518c0bcc77a,3,0,0,0
hotpotqa_v15_exploratory,flan,5a7aaf41554299042af8f690,unknown,unknown,0,15,0.0,0.0,0.8,0.8,1,,beam_repair:fd7f25412d1dada7,2,1,1,1,0.28571428571428575,0.0,0.11428571428571427,0.11428571428571427,1,,beam_repair:fd7f25412d1dada7,2,1,1,1,0.0,0.0,0.30769230769230765,0.30769230769230765,1,,beam_repair:fd7f25412d1dada7,2,1,1,1
hotpotqa_v15_exploratory,flan,5a7d18be5542995ed0d165e4,unknown,unknown,0,13,0.6666666666666666,0.0,0.0,0.0,0,,beam_repair:f3d054cbcdbdbcef,3,0,0,0,0.5714285714285715,0.0,0.09523809523809512,0.09523809523809512,1,,beam_repair:f3d054cbcdbdbcef,3,1,1,1,0.4444444444444445,0.0,0.055555555555555525,0.055555555555555525,1,,beam_repair:f3d054cbcdbdbcef,3,1,1,1
hotpotqa_v15_exploratory,flan,5a81440455429938b614231a,unknown,unknown,2,11,1.0,0.0,0.0,0.0,0,beam_repair:ea5f052dc674e2cb,beam_repair:e9a30f116f0abfcb,3,0,0,0,0.5714285714285715,0.0,0.0,0.0,0,beam_repair:ea5f052dc674e2cb,beam_repair:e27974cbf561a2d5,2,0,0,0,0.5714285714285715,0.0,0.0,0.0,0,beam_repair:ea5f052dc674e2cb,beam_repair:e27974cbf561a2d5,2,0,0,0
hotpotqa_v15_exploratory,flan,5a8187bc55429926c1cdad32,unknown,unknown,2,9,0.0,0.0,0.0,0.0,0,beam_repair:e26446940bef58aa,beam_repair:d0d1e1078f133dbd,2,0,0,0,0.0,0.0,0.0,0.0,0,beam_repair:e26446940bef58aa,beam_repair:d0d1e1078f133dbd,2,0,0,0,0.0,0.0,0.0,0.0,0,beam_repair:e26446940bef58aa,beam_repair:d0d1e1078f133dbd,2,0,0,0
hotpotqa_v15_exploratory,flan,5a87d2185542993e715abfe1,unknown,unknown,0,12,1.0,0.0,0.0,0.0,0,,beam_repair:b32bfd13d2f9873f,3,0,0,0,0.0,0.0,0.0,0.0,0,,beam_repair:ebcc1d38f36d2bc9,2,0,0,0,0.0,0.0,0.0,0.0,0,,beam_repair:ebcc1d38f36d2bc9,2,0,0,0
hotpotqa_v15_exploratory,flan,5a8afc5955429971feec45c8,unknown,unknown,2,13,0.0,1.0,0.8,-0.19999999999999996,0,beam_repair:6de311674c7f5901,beam_repair:fdc393e166f66a34,3,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:b6f493ff1c3288f2,beam_repair:fdc393e166f66a34,3,0,0,0,0.0,0.5,0.4,-0.09999999999999998,0,beam_repair:6de311674c7f5901,beam_repair:fdc393e166f66a34,3,0,0,0
hotpotqa_v15_exploratory,flan,5a8bc6045542997f31a41dc2,unknown,unknown,0,15,0.6666666666666666,0.0,0.0,0.0,0,,beam_repair:d99fe7c6968e1659,2,0,0,0,1.0,0.0,0.0,0.0,0,,beam_repair:d99fe7c6968e1659,2,0,0,0,0.6666666666666666,0.0,0.0,0.0,0,,beam_repair:d99fe7c6968e1659,2,0,0,0
hotpotqa_v15_exploratory,flan,5a8c7383554299585d9e36ab,unknown,unknown,8,7,0.6666666666666666,0.0,0.0,0.0,0,beam_repair:ae2d41d5cdf05596,beam_repair:f681beb42a11adf0,2,0,0,0,0.5,0.5,0.5,0.0,0,beam_repair:3997a2b43c9f5366,beam_repair:f681beb42a11adf0,2,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,beam_repair:3997a2b43c9f5366,beam_repair:f681beb42a11adf0,2,0,0,0
