dataset,partition,query_id,gold_support_documents,support_documents,indexed_support_fraction,support_client_count,all_evidence_one_client,evidence_two_clients,evidence_three_plus_clients,cross_client_evidence,evidence_dispersion_entropy,answer_client_count,closest_distractor_client,support_clients,support_doc_ids,support_doc_client_map
musique,topic_silo,2hop__122477_162428,2,2,1.0,2,0,1,0,1,0.6931471805579453,1,5,1|12,musique:1bf4549e11e3cdb3226f|musique:5977724c37e38a299fd2,"{""musique:1bf4549e11e3cdb3226f"": 1, ""musique:5977724c37e38a299fd2"": 12}"
musique,topic_silo,2hop__109234_62766,2,2,1.0,1,1,0,0,0,-1.000088900581841e-12,1,15,8,musique:0dc11fc913bee650e8d6|musique:5f8473ef63c73296b1b6,"{""musique:0dc11fc913bee650e8d6"": 8, ""musique:5f8473ef63c73296b1b6"": 8}"
musique,topic_silo,3hop1__181667_504655_33913,3,3,1.0,2,0,1,0,1,0.6365141682928128,2,4,1|18,musique:47ea074ce01ca20094fb|musique:6c27bf252061214f8b8f|musique:b428a3476fb09c3b011f,"{""musique:47ea074ce01ca20094fb"": 18, ""musique:6c27bf252061214f8b8f"": 18, ""musique:b428a3476fb09c3b011f"": 1}"
musique,topic_silo,2hop__325_89145,2,2,1.0,1,1,0,0,0,-1.000088900581841e-12,2,5,16,musique:7bd6ca088d0d0d2d75d6|musique:b28a65df5e47cd87b36b,"{""musique:7bd6ca088d0d0d2d75d6"": 16, ""musique:b28a65df5e47cd87b36b"": 16}"
musique,topic_silo,3hop1__564493_745783_71511,3,3,1.0,3,0,0,1,1,1.0986122886651097,1,17,3|11|17,musique:0754489207db94338bab|musique:810a462a205c672834b4|musique:b59aacb171dd898cb611,"{""musique:0754489207db94338bab"": 11, ""musique:810a462a205c672834b4"": 3, ""musique:b59aacb171dd898cb611"": 17}"
musique,topic_silo,3hop1__128127_374130_159613,3,3,1.0,2,0,1,0,1,0.6365141682928128,1,17,0|17,musique:36356908e88f644fed04|musique:a58f4bc977387d1100bd|musique:da7e4e215e66b2899379,"{""musique:36356908e88f644fed04"": 17, ""musique:a58f4bc977387d1100bd"": 0, ""musique:da7e4e215e66b2899379"": 17}"
musique,topic_silo,2hop__129962_69002,2,2,1.0,2,0,1,0,1,0.6931471805579453,1,16,9|13,musique:002c027a03ef4bd8899c|musique:2c729acf418f89420499,"{""musique:002c027a03ef4bd8899c"": 13, ""musique:2c729acf418f89420499"": 9}"
musique,topic_silo,2hop__37772_754711,2,2,1.0,2,0,1,0,1,0.6931471805579453,1,12,1|15,musique:2d8eff6830042a0d78e5|musique:6528f52cd3606a5cfd88,"{""musique:2d8eff6830042a0d78e5"": 1, ""musique:6528f52cd3606a5cfd88"": 15}"
musique,topic_silo,2hop__149946_465977,2,2,1.0,2,0,1,0,1,0.6931471805579453,1,15,14|15,musique:68915644172c32e126d1|musique:bcf1024fb40d74a9a319,"{""musique:68915644172c32e126d1"": 15, ""musique:bcf1024fb40d74a9a319"": 14}"
musique,topic_silo,2hop__159116_44163,2,2,1.0,2,0,1,0,1,0.6931471805579453,1,0,0|4,musique:7c711637d47a8d83fd99|musique:907a21e37b15621f1211,"{""musique:7c711637d47a8d83fd99"": 0, ""musique:907a21e37b15621f1211"": 4}"
