dataset,partition,split,query_id,origin_client,origin_probability,max_similarity,gold_labels_used
musique,topic_silo,train,3hop2__493013_63595_53125,8,0.05247787758708,0.6216311454772949,False
musique,topic_silo,train,2hop__782253_259429,4,0.04449716582894325,0.6557356119155884,False
musique,topic_silo,train,2hop__14959_53204,19,0.048159025609493256,0.6674877405166626,False
musique,topic_silo,train,3hop2__231262_51280_242202,11,0.06362248957157135,0.6289165019989014,False
musique,topic_silo,train,3hop2__89818_372055_4107,18,0.030542951077222824,0.61650151014328,False
musique,topic_silo,train,2hop__275076_849321,0,0.0312122143805027,0.5879490375518799,False
musique,topic_silo,train,4hop2__205028_5537_91861_124556,8,0.05701359733939171,0.5564121007919312,False
musique,topic_silo,train,3hop1__312602_629330_21082,11,0.038062915205955505,0.5765075087547302,False
musique,topic_silo,train,3hop1__767984_490108_29562,12,0.06771495193243027,0.6655678153038025,False
musique,topic_silo,train,2hop__13647_13701,19,0.04596089571714401,0.5373634696006775,False
musique,topic_silo,train,2hop__155419_222887,9,0.03645870089530945,0.6175429821014404,False
musique,topic_silo,train,3hop1__94551_65225_37150,2,0.08711382001638412,0.6339536309242249,False
musique,topic_silo,train,2hop__396846_400874,6,0.08778610825538635,0.6128642559051514,False
musique,topic_silo,train,2hop__487291_91875,15,0.033472806215286255,0.5955077409744263,False
musique,topic_silo,train,3hop2__103372_38001_35312,3,0.034331515431404114,0.5682180523872375,False
musique,topic_silo,train,2hop__146201_32463,10,0.0722166895866394,0.6229130625724792,False
musique,topic_silo,train,2hop__52331_59195,10,0.04635458067059517,0.703020453453064,False
musique,topic_silo,train,4hop1__366739_106790_158589_67700,16,0.060940634459257126,0.656373143196106,False
musique,topic_silo,train,2hop__816314_53910,1,0.06620194017887115,0.6528671979904175,False
musique,topic_silo,train,2hop__609273_25111,14,0.03937949985265732,0.611600935459137,False
musique,topic_silo,train,2hop__397654_25111,7,0.05103689804673195,0.6161983609199524,False
musique,topic_silo,train,2hop__433302_80884,18,0.040023285895586014,0.6442605257034302,False
musique,topic_silo,train,3hop2__23087_28338_160498,0,0.09429825097322464,0.5699462294578552,False
musique,topic_silo,train,2hop__186507_50788,10,0.06568056344985962,0.6044778823852539,False
musique,topic_silo,train,2hop__394596_8600,10,0.05547291785478592,0.5996227860450745,False
musique,topic_silo,train,2hop__61529_22041,5,0.050365597009658813,0.5872446894645691,False
musique,topic_silo,train,2hop__149848_432788,17,0.051556315273046494,0.6041792035102844,False
musique,topic_silo,train,4hop3__31642_754527_547989_20507,7,0.0751112625002861,0.6490842700004578,False
musique,topic_silo,train,2hop__483768_751489,5,0.03574718162417412,0.6002122759819031,False
musique,topic_silo,train,2hop__130542_555599,19,0.09139996021986008,0.6247877478599548,False
musique,topic_silo,train,2hop__240124_77937,3,0.046374570578336716,0.6402193903923035,False
musique,topic_silo,train,3hop1__77823_45116_47790,3,0.03478337079286575,0.6274899244308472,False
musique,topic_silo,train,2hop__74579_36741,1,0.06236649304628372,0.6297193169593811,False
musique,topic_silo,train,4hop1__63605_58494_56750_44492,19,0.0714682787656784,0.5852795243263245,False
musique,topic_silo,train,2hop__549053_123897,2,0.04781434312462807,0.7217153310775757,False
musique,topic_silo,train,2hop__5330_74242,2,0.040391020476818085,0.6274842023849487,False
musique,topic_silo,train,2hop__236805_333904,14,0.04359779506921768,0.6097537279129028,False
musique,topic_silo,train,2hop__373147_77346,16,0.056381892412900925,0.6274780631065369,False
musique,topic_silo,train,2hop__92426_92427,4,0.04213910177350044,0.620884120464325,False
musique,topic_silo,train,2hop__428020_92853,8,0.039999350905418396,0.6321004033088684,False
musique,topic_silo,train,2hop__838694_36340,0,0.040963947772979736,0.6043026447296143,False
musique,topic_silo,train,2hop__615289_92853,7,0.08823012560606003,0.6554622054100037,False
musique,topic_silo,train,2hop__130780_66008,15,0.04507638141512871,0.5995163917541504,False
musique,topic_silo,train,3hop1__69866_66733_33264,6,0.040854766964912415,0.6967751979827881,False
musique,topic_silo,train,2hop__147094_11125,11,0.055141374468803406,0.6375306844711304,False
musique,topic_silo,train,2hop__57514_160063,5,0.039491184055805206,0.6822381019592285,False
musique,topic_silo,train,2hop__20874_42892,0,0.029668139293789864,0.573858916759491,False
musique,topic_silo,train,2hop__22731_42360,18,0.030498482286930084,0.5796869993209839,False
musique,topic_silo,train,4hop3__392917_75897_8509_19700,4,0.09818819910287857,0.6038861274719238,False
musique,topic_silo,train,2hop__746320_543261,7,0.057195454835891724,0.6157718896865845,False
musique,topic_silo,train,2hop__176353_62302,0,0.05305451154708862,0.6746350526809692,False
musique,topic_silo,train,2hop__55332_86951,11,0.06001540645956993,0.6207336187362671,False
musique,topic_silo,train,2hop__6303_88700,14,0.05541070178151131,0.5843722224235535,False
musique,topic_silo,train,2hop__413352_131886,13,0.03528663516044617,0.6299445629119873,False
musique,topic_silo,train,2hop__129019_11448,10,0.04749684780836105,0.6604317426681519,False
musique,topic_silo,train,3hop1__136439_35178_686699,14,0.0327652245759964,0.6089068651199341,False
musique,topic_silo,train,3hop1__681751_823491_242202,7,0.04178158566355705,0.5983642339706421,False
musique,topic_silo,train,2hop__145342_126070,13,0.05472211167216301,0.6386861801147461,False
musique,topic_silo,train,2hop__599215_87112,13,0.05477181449532509,0.6180967092514038,False
musique,topic_silo,train,4hop2__205028_81195_91861_124556,9,0.02709701657295227,0.565786600112915,False
musique,topic_silo,train,2hop__645277_2702,18,0.09042477607727051,0.6274457573890686,False
musique,topic_silo,train,2hop__21806_37771,14,0.033271901309490204,0.670316219329834,False
musique,topic_silo,train,2hop__146031_21587,7,0.06023317575454712,0.6583460569381714,False
musique,topic_silo,train,2hop__478311_434,10,0.059601616114377975,0.6129055023193359,False
musique,topic_silo,train,2hop__646909_321254,11,0.09172749519348145,0.6223183870315552,False
musique,topic_silo,train,3hop1__357832_106790_125168,5,0.0379592664539814,0.616905689239502,False
musique,topic_silo,train,2hop__395056_533616,4,0.024948375299572945,0.5863301753997803,False
musique,topic_silo,train,2hop__103300_23140,16,0.0649099349975586,0.5683155059814453,False
musique,topic_silo,train,2hop__128478_11448,15,0.042265962809324265,0.6148970127105713,False
musique,topic_silo,train,3hop1__144079_159891_90527,6,0.05936441197991371,0.5572055578231812,False
musique,topic_silo,train,2hop__144381_120510,2,0.05505560711026192,0.6056966185569763,False
musique,topic_silo,train,2hop__308827_24779,0,0.044410672038793564,0.6308390498161316,False
