    PID    PPID                  STARTED     ELAPSED S %CPU %MEM COMMAND
      1       0 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 /lib/systemd/systemd --system --deserialize 24
      2       0 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [kthreadd]
      3       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [rcu_gp]
      4       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [rcu_par_gp]
      6       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/0:0H-kblockd]
      9       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [mm_percpu_wq]
     10       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/0]
     11       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [rcu_sched]
     12       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/0]
     13       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/0]
     14       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/0]
     15       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/1]
     16       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/1]
     17       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/1]
     18       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/1]
     20       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/1:0H-kblockd]
     21       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/2]
     22       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/2]
     23       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/2]
     24       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/2]
     26       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/2:0H-kblockd]
     27       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/3]
     28       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/3]
     29       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/3]
     30       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/3]
     32       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/3:0H-kblockd]
     33       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/4]
     34       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/4]
     35       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/4]
     36       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/4]
     38       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/4:0H-kblockd]
     39       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/5]
     40       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/5]
     41       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/5]
     42       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/5]
     44       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/5:0H]
     45       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/6]
     46       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/6]
     47       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/6]
     48       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/6]
     50       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/6:0H-kblockd]
     51       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/7]
     52       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/7]
     53       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/7]
     54       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/7]
     56       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/7:0H-kblockd]
     57       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/8]
     58       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/8]
     59       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/8]
     60       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/8]
