    PID    PPID                  STARTED STAT COMMAND
      1       0 Sun Jul 12 11:14:54 2026 Ss   /lib/systemd/systemd --system --deserialize 24
      2       0 Sun Jul 12 11:14:54 2026 S    [kthreadd]
      3       2 Sun Jul 12 11:14:54 2026 I<   [rcu_gp]
      4       2 Sun Jul 12 11:14:54 2026 I<   [rcu_par_gp]
      6       2 Sun Jul 12 11:14:54 2026 I<   [kworker/0:0H-kblockd]
      9       2 Sun Jul 12 11:14:54 2026 I<   [mm_percpu_wq]
     10       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/0]
     11       2 Sun Jul 12 11:14:54 2026 I    [rcu_sched]
     12       2 Sun Jul 12 11:14:54 2026 S    [migration/0]
     13       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/0]
     14       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/0]
     15       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/1]
     16       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/1]
     17       2 Sun Jul 12 11:14:54 2026 S    [migration/1]
     18       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/1]
     20       2 Sun Jul 12 11:14:54 2026 I<   [kworker/1:0H-kblockd]
     21       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/2]
     22       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/2]
     23       2 Sun Jul 12 11:14:54 2026 S    [migration/2]
     24       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/2]
     26       2 Sun Jul 12 11:14:54 2026 I<   [kworker/2:0H-kblockd]
     27       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/3]
     28       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/3]
     29       2 Sun Jul 12 11:14:54 2026 S    [migration/3]
     30       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/3]
     32       2 Sun Jul 12 11:14:54 2026 I<   [kworker/3:0H-kblockd]
     33       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/4]
     34       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/4]
     35       2 Sun Jul 12 11:14:54 2026 S    [migration/4]
     36       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/4]
     38       2 Sun Jul 12 11:14:54 2026 I<   [kworker/4:0H-kblockd]
     39       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/5]
     40       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/5]
     41       2 Sun Jul 12 11:14:54 2026 S    [migration/5]
     42       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/5]
     44       2 Sun Jul 12 11:14:54 2026 I<   [kworker/5:0H]
     45       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/6]
     46       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/6]
     47       2 Sun Jul 12 11:14:54 2026 S    [migration/6]
     48       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/6]
     50       2 Sun Jul 12 11:14:54 2026 I<   [kworker/6:0H-kblockd]
     51       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/7]
     52       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/7]
     53       2 Sun Jul 12 11:14:54 2026 S    [migration/7]
     54       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/7]
     56       2 Sun Jul 12 11:14:54 2026 I<   [kworker/7:0H-kblockd]
     57       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/8]
     58       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/8]
     59       2 Sun Jul 12 11:14:54 2026 S    [migration/8]
     60       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/8]
     62       2 Sun Jul 12 11:14:54 2026 I<   [kworker/8:0H-kblockd]
     63       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/9]
     64       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/9]
     65       2 Sun Jul 12 11:14:54 2026 S    [migration/9]
     66       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/9]
     68       2 Sun Jul 12 11:14:54 2026 I<   [kworker/9:0H-kblockd]
     69       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/10]
     70       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/10]
     71       2 Sun Jul 12 11:14:54 2026 S    [migration/10]
     72       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/10]
     74       2 Sun Jul 12 11:14:54 2026 I<   [kworker/10:0H-kblockd]
     75       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/11]
     76       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/11]
     77       2 Sun Jul 12 11:14:54 2026 S    [migration/11]
     78       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/11]
     80       2 Sun Jul 12 11:14:54 2026 I<   [kworker/11:0H-kblockd]
     81       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/12]
     82       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/12]
     83       2 Sun Jul 12 11:14:54 2026 S    [migration/12]
     84       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/12]
     86       2 Sun Jul 12 11:14:54 2026 I<   [kworker/12:0H-kblockd]
     87       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/13]
     88       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/13]
     89       2 Sun Jul 12 11:14:54 2026 S    [migration/13]
     90       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/13]
     92       2 Sun Jul 12 11:14:54 2026 I<   [kworker/13:0H]
     93       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/14]
     94       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/14]
     95       2 Sun Jul 12 11:14:54 2026 S    [migration/14]
     96       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/14]
     98       2 Sun Jul 12 11:14:54 2026 I<   [kworker/14:0H]
     99       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/15]
    100       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/15]
    101       2 Sun Jul 12 11:14:54 2026 S    [migration/15]
    102       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/15]
    104       2 Sun Jul 12 11:14:54 2026 I<   [kworker/15:0H-kblockd]
    105       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/16]
    106       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/16]
    107       2 Sun Jul 12 11:14:54 2026 S    [migration/16]
    108       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/16]
    110       2 Sun Jul 12 11:14:54 2026 I<   [kworker/16:0H-kblockd]
    111       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/17]
    112       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/17]
    113       2 Sun Jul 12 11:14:54 2026 S    [migration/17]
    114       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/17]
    116       2 Sun Jul 12 11:14:54 2026 I<   [kworker/17:0H]
    117       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/18]
    118       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/18]
    119       2 Sun Jul 12 11:14:54 2026 S    [migration/18]
    120       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/18]
    122       2 Sun Jul 12 11:14:54 2026 I<   [kworker/18:0H-kblockd]
    123       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/19]
    124       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/19]
    125       2 Sun Jul 12 11:14:54 2026 S    [migration/19]
    126       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/19]
    128       2 Sun Jul 12 11:14:54 2026 I<   [kworker/19:0H]
    129       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/20]
    130       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/20]
    131       2 Sun Jul 12 11:14:54 2026 S    [migration/20]
    132       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/20]
    134       2 Sun Jul 12 11:14:54 2026 I<   [kworker/20:0H-kblockd]
    135       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/21]
    136       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/21]
    137       2 Sun Jul 12 11:14:54 2026 S    [migration/21]
    138       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/21]
    140       2 Sun Jul 12 11:14:54 2026 I<   [kworker/21:0H-kblockd]
    141       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/22]
    142       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/22]
    143       2 Sun Jul 12 11:14:54 2026 S    [migration/22]
    144       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/22]
    146       2 Sun Jul 12 11:14:54 2026 I<   [kworker/22:0H-events_highpri]
    147       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/23]
    148       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/23]
    149       2 Sun Jul 12 11:14:54 2026 S    [migration/23]
    150       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/23]
    152       2 Sun Jul 12 11:14:54 2026 I<   [kworker/23:0H-kblockd]
    153       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/24]
    154       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/24]
    155       2 Sun Jul 12 11:14:54 2026 S    [migration/24]
    156       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/24]
    158       2 Sun Jul 12 11:14:54 2026 I<   [kworker/24:0H]
    159       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/25]
    160       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/25]
    161       2 Sun Jul 12 11:14:54 2026 S    [migration/25]
    162       2 Sun Jul 12 11:14:54 2026 S    [ksoftirqd/25]
    164       2 Sun Jul 12 11:14:54 2026 I<   [kworker/25:0H-kblockd]
    165       2 Sun Jul 12 11:14:54 2026 S    [cpuhp/26]
    166       2 Sun Jul 12 11:14:54 2026 S    [idle_inject/26]
    167       2 Sun Jul 12 11:14:54 2026 S    [migration/26]
