block,client_id,count
pooler,0,24
embeddings,0,9
encoder.layer.3,0,7
encoder.layer.4,0,7
encoder.layer.7,0,7
encoder.layer.10,0,7
encoder.layer.8,0,6
encoder.layer.9,0,5
encoder.layer.11,0,5
encoder.layer.6,0,5
encoder.layer.0,0,3
encoder.layer.1,0,3
encoder.layer.2,0,3
pooler,1,24
encoder.layer.9,1,8
encoder.layer.7,1,8
encoder.layer.5,1,7
encoder.layer.11,1,7
encoder.layer.1,1,6
encoder.layer.2,1,6
encoder.layer.0,1,5
encoder.layer.4,1,5
encoder.layer.6,1,4
encoder.layer.8,1,4
encoder.layer.10,1,4
encoder.layer.3,1,3
embeddings,1,2
pooler,2,24
encoder.layer.10,2,7
embeddings,2,7
encoder.layer.11,2,6
encoder.layer.4,2,6
encoder.layer.6,2,6
encoder.layer.1,2,6
encoder.layer.2,2,6
encoder.layer.9,2,5
encoder.layer.5,2,5
encoder.layer.7,2,5
encoder.layer.0,2,4
encoder.layer.3,2,3
encoder.layer.8,2,2
pooler,3,24
encoder.layer.3,3,7
encoder.layer.11,3,7
encoder.layer.0,3,7
embeddings,3,7
encoder.layer.1,3,5
encoder.layer.6,3,5
encoder.layer.8,3,5
encoder.layer.2,3,5
encoder.layer.4,3,4
encoder.layer.5,3,4
encoder.layer.10,3,4
encoder.layer.7,3,3
encoder.layer.9,3,2
pooler,4,24
embeddings,4,8
encoder.layer.7,4,6
encoder.layer.6,4,6
encoder.layer.10,4,6
encoder.layer.9,4,6
encoder.layer.8,4,5
encoder.layer.11,4,5
encoder.layer.5,4,5
encoder.layer.4,4,5
encoder.layer.2,4,4
encoder.layer.3,4,4
encoder.layer.0,4,4
encoder.layer.1,4,3
