block,client_id,count
pooler,0,24
encoder.layer.7,0,24
encoder.layer.8,0,24
encoder.layer.9,0,14
encoder.layer.6,0,4
encoder.layer.11,0,3
pooler,1,24
encoder.layer.7,1,24
encoder.layer.8,1,24
encoder.layer.9,1,17
encoder.layer.6,1,4
encoder.layer.11,1,1
pooler,2,24
encoder.layer.7,2,24
encoder.layer.8,2,24
encoder.layer.9,2,16
encoder.layer.11,2,4
encoder.layer.6,2,1
pooler,3,24
encoder.layer.7,3,24
encoder.layer.8,3,23
encoder.layer.11,3,13
encoder.layer.9,3,7
encoder.layer.6,3,2
pooler,4,24
encoder.layer.7,4,24
encoder.layer.8,4,24
encoder.layer.9,4,20
encoder.layer.6,4,1
