avg_budget_topk,avg_hn_loss,avg_payload_ratio,avg_predicted_budget_ratio,avg_uploaded_params,budget_mode,round,score_mode,selected_clients,selection_details,selection_entropy,strategy,suite_tag,task_name,topk_blocks,total_encrypted_bytes_est,total_full_params,total_uploaded_params,utility_per_payload,warmup_rounds
0.0,0.0,1.0,0.0,109482240.0,fixed,1,importance,"[0, 1, 2, 3, 4]","[{'client_id': 0, 'upload_blocks': ['__ALL__'], 'budget_topk': 0, 'predicted_budget_ratio': 0.0}, {'client_id': 1, 'upload_blocks': ['__ALL__'], 'budget_topk': 0, 'predicted_budget_ratio': 0.0}, {'client_id': 2, 'upload_blocks': ['__ALL__'], 'budget_topk': 0, 'predicted_budget_ratio': 0.0}, {'client_id': 3, 'upload_blocks': ['__ALL__'], 'budget_topk': 0, 'predicted_budget_ratio': 0.0}, {'client_id': 4, 'upload_blocks': ['__ALL__'], 'budget_topk': 0, 'predicted_budget_ratio': 0.0}]",0.0,random,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,547411200,547411200,2.8095806484660787e-09,1
3.0,0.0,0.21726351232857494,0.0,23786496.0,fixed,2,importance,"[0, 1, 2, 3, 4]","[{'client_id': 0, 'upload_blocks': ['encoder.layer.1', 'encoder.layer.8', 'encoder.layer.0', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 1, 'upload_blocks': ['encoder.layer.3', 'encoder.layer.0', 'encoder.layer.6', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 2, 'upload_blocks': ['encoder.layer.11', 'encoder.layer.6', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 3, 'upload_blocks': ['encoder.layer.9', 'encoder.layer.5', 'encoder.layer.2', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 4, 'upload_blocks': ['encoder.layer.0', 'encoder.layer.6', 'embeddings', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}]",2.173972489988116,random,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,547411200,118932480,1.3062122927370818e-08,1
3.0,0.0,0.21726351232857494,0.0,23786496.0,fixed,3,importance,"[0, 1, 2, 3, 4]","[{'client_id': 0, 'upload_blocks': ['pooler', 'encoder.layer.5', 'encoder.layer.11'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 1, 'upload_blocks': ['encoder.layer.8', 'encoder.layer.11', 'embeddings', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 2, 'upload_blocks': ['encoder.layer.10', 'encoder.layer.6', 'encoder.layer.3', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 3, 'upload_blocks': ['encoder.layer.10', 'encoder.layer.11', 'encoder.layer.2', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 4, 'upload_blocks': ['encoder.layer.8', 'encoder.layer.0', 'encoder.layer.4', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}]",2.201511865975724,random,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,547411200,118932480,1.3048044726699211e-08,1
3.0,0.0,0.2784581389639087,0.0,30486220.8,fixed,4,importance,"[0, 1, 2, 3, 4]","[{'client_id': 0, 'upload_blocks': ['embeddings', 'pooler', 'encoder.layer.11'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 1, 'upload_blocks': ['encoder.layer.9', 'encoder.layer.7', 'embeddings', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 2, 'upload_blocks': ['encoder.layer.5', 'encoder.layer.9', 'encoder.layer.2', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 3, 'upload_blocks': ['encoder.layer.5', 'encoder.layer.10', 'embeddings', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 4, 'upload_blocks': ['encoder.layer.7', 'encoder.layer.2', 'encoder.layer.6', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}]",2.055586143754578,random,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,547411200,152431104,1.0269471505515318e-08,1
3.0,0.0,0.21726351232857496,0.0,23786496.0,fixed,5,importance,"[0, 1, 2, 3, 4]","[{'client_id': 0, 'upload_blocks': ['encoder.layer.6', 'encoder.layer.7', 'encoder.layer.2', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 1, 'upload_blocks': ['encoder.layer.4', 'encoder.layer.2', 'encoder.layer.9', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 2, 'upload_blocks': ['encoder.layer.2', 'encoder.layer.11', 'encoder.layer.6', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 3, 'upload_blocks': ['encoder.layer.3', 'embeddings', 'encoder.layer.5', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 4, 'upload_blocks': ['pooler', 'encoder.layer.7', 'encoder.layer.9'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}]",2.1285490048651505,random,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,547411200,118932480,1.3154368074748927e-08,1
3.0,0.0,0.18666619901090806,0.0,20436633.6,fixed,6,importance,"[0, 1, 2, 3, 4]","[{'client_id': 0, 'upload_blocks': ['encoder.layer.0', 'encoder.layer.1', 'encoder.layer.9', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 1, 'upload_blocks': ['encoder.layer.10', 'encoder.layer.3', 'encoder.layer.0', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 2, 'upload_blocks': ['encoder.layer.10', 'encoder.layer.4', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 3, 'upload_blocks': ['encoder.layer.10', 'encoder.layer.7', 'encoder.layer.5', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 4, 'upload_blocks': ['encoder.layer.7', 'encoder.layer.9', 'encoder.layer.2', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}]",2.128549004865151,random,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,547411200,102183168,1.5174708383591666e-08,1
3.0,0.0,0.21726351232857494,0.0,23786496.0,fixed,7,importance,"[0, 1, 2, 3, 4]","[{'client_id': 0, 'upload_blocks': ['encoder.layer.3', 'pooler', 'encoder.layer.8'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 1, 'upload_blocks': ['encoder.layer.6', 'encoder.layer.7', 'encoder.layer.5', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 2, 'upload_blocks': ['encoder.layer.8', 'embeddings', 'encoder.layer.6', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 3, 'upload_blocks': ['encoder.layer.2', 'encoder.layer.10', 'encoder.layer.5', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 4, 'upload_blocks': ['encoder.layer.5', 'encoder.layer.9', 'encoder.layer.1', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}]",2.201511865975724,random,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,547411200,118932480,1.3318837826508344e-08,1
3.0,0.0,0.19961418399915823,0.0,21854208.0,fixed,8,importance,"[0, 1, 2, 3, 4]","[{'client_id': 0, 'upload_blocks': ['encoder.layer.4', 'encoder.layer.7', 'encoder.layer.10', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 1, 'upload_blocks': ['encoder.layer.11', 'encoder.layer.9', 'encoder.layer.10', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 2, 'upload_blocks': ['encoder.layer.4', 'encoder.layer.0', 'encoder.layer.6', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 3, 'upload_blocks': ['encoder.layer.9', 'encoder.layer.7', 'encoder.layer.0', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 4, 'upload_blocks': ['encoder.layer.11', 'encoder.layer.1', 'encoder.layer.7', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}]",2.082007361856277,random,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,547411200,109271040,1.4531676008895232e-08,1
3.0,0.0,0.24786082564624184,0.0,27136358.4,fixed,9,importance,"[0, 1, 2, 3, 4]","[{'client_id': 0, 'upload_blocks': ['pooler', 'encoder.layer.5', 'encoder.layer.4'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 1, 'upload_blocks': ['encoder.layer.6', 'encoder.layer.10', 'embeddings', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 2, 'upload_blocks': ['encoder.layer.6', 'embeddings', 'encoder.layer.3', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 3, 'upload_blocks': ['encoder.layer.10', 'encoder.layer.8', 'encoder.layer.11', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 4, 'upload_blocks': ['encoder.layer.8', 'encoder.layer.5', 'encoder.layer.9', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}]",2.1560883808527587,random,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,547411200,135681792,1.2430382928744524e-08,1
3.0,0.0,0.1784195573638245,0.0,19533772.8,fixed,10,importance,"[0, 1, 2, 3, 4]","[{'client_id': 0, 'upload_blocks': ['encoder.layer.1', 'pooler', 'encoder.layer.7'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 1, 'upload_blocks': ['encoder.layer.2', 'embeddings', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 2, 'upload_blocks': ['encoder.layer.7', 'pooler', 'encoder.layer.2'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 3, 'upload_blocks': ['encoder.layer.5', 'encoder.layer.7', 'encoder.layer.4', 'pooler'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}, {'client_id': 4, 'upload_blocks': ['pooler', 'encoder.layer.8', 'encoder.layer.4'], 'budget_topk': 3, 'predicted_budget_ratio': 0.0}]",1.8903627753308676,random,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,547411200,97668864,1.5639764648460132e-08,1
