avg_budget_topk,avg_hn_loss,avg_payload_ratio,avg_predicted_budget_ratio,budget_mode,estimate_encryption,layerwise_budget,overall_payload_ratio,rounds,run_dir,run_name,score_mode,seed,strategy,suite_tag,task_name,topk_blocks,total_encrypted_bytes_est,total_full_params,total_uploaded_params,use_client_embedding,use_history_features,utility_per_payload,warmup_rounds
2.88,0.0,0.24754021956437866,0.0,fixed,False,False,0.24754021956437866,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/delta-norm_k3_w1_s0_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,delta-norm_k3_w1_s0_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,importance,0,delta_norm,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,13685280000,3387657216,True,True,1.3279958632876615e-08,1
2.88,0.0,0.2401968643681387,0.0,fixed,False,False,0.2401968643681386,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/delta-norm_k3_w1_s1_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,delta-norm_k3_w1_s1_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,importance,1,delta_norm,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,13685280000,3287161344,True,True,1.374758764424073e-08,1
2.88,0.0,0.24142075690084533,0.0,fixed,False,False,0.2414207569008453,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/delta-norm_k3_w1_s2_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,delta-norm_k3_w1_s2_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,importance,2,delta_norm,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,13685280000,3303910656,True,True,1.3536236362601138e-08,1
13.44,0.0,1.0,0.0,fixed,False,False,1.0,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/full_k0_w1_s0_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,full_k0_w1_s0_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,importance,0,full,v6_main,num5_dir_a03_imb00_ts0_v6,0,0.0,13685280000,13685280000,True,True,2.9933741356828003e-09,1
13.44,0.0,1.0,0.0,fixed,False,False,1.0,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/full_k0_w1_s1_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,full_k0_w1_s1_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,importance,1,full,v6_main,num5_dir_a03_imb00_ts0_v6,0,0.0,13685280000,13685280000,True,True,2.982648649568899e-09,1
13.44,0.0,1.0,0.0,fixed,False,False,1.0,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/full_k0_w1_s2_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,full_k0_w1_s2_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,importance,2,full,v6_main,num5_dir_a03_imb00_ts0_v6,0,0.0,13685280000,13685280000,True,True,2.9651052847448225e-09,1
2.88,0.0063760871400591005,0.22437874504577188,0.39254844164848324,adaptive,False,False,0.2243787450457718,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/hypernet-v3_k3_w1_s0_enc0_score-value_budget-adaptive_hist5_client1_block1_hard1_util1,hypernet-v3_k3_w1_s0_enc0_score-value_budget-adaptive_hist5_client1_block1_hard1_util1,value,0,hypernet_v3,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,13685280000,3070685952,True,True,1.4775557181857764e-08,1
2.88,0.006164168703253381,0.2269683420434219,0.48954281997680665,adaptive,False,False,0.22696834204342184,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/hypernet-v3_k3_w1_s1_enc0_score-value_budget-adaptive_hist5_client1_block1_hard1_util1,hypernet-v3_k3_w1_s1_enc0_score-value_budget-adaptive_hist5_client1_block1_hard1_util1,value,1,hypernet_v3,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,13685280000,3106125312,True,True,1.4667994073567416e-08,1
2.88,0.006169388005859219,0.22904001964154194,0.447075170993805,adaptive,False,False,0.22904001964154186,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/hypernet-v3_k3_w1_s2_enc0_score-value_budget-adaptive_hist5_client1_block1_hard1_util1,hypernet-v3_k3_w1_s2_enc0_score-value_budget-adaptive_hist5_client1_block1_hard1_util1,value,2,hypernet_v3,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,13685280000,3134476800,True,True,1.4628666981488053e-08,1
2.88,0.006376086705131457,0.22437874504577188,0.0,fixed,False,False,0.2243787450457718,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/hypernet-v6_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1,hypernet-v6_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1,downstream_value,0,hypernet_v6,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,13685280000,3070685952,True,True,1.4775557181857764e-08,1
2.88,0.006164168377988975,0.2269683420434219,0.0,fixed,False,False,0.22696834204342184,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/hypernet-v6_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1,hypernet-v6_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1,downstream_value,1,hypernet_v6,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,13685280000,3106125312,True,True,1.4667994073567416e-08,1
2.88,0.006169389319373296,0.22904001964154194,0.0,fixed,False,False,0.22904001964154186,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/hypernet-v6_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1,hypernet-v6_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1,downstream_value,2,hypernet_v6,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,13685280000,3134476800,True,True,1.4628666981488053e-08,1
2.88,0.0,0.256952165830732,0.0,fixed,False,False,0.256952165830732,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/random_k3_w1_s0_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,random_k3_w1_s0_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,importance,0,random,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,13685280000,3516462336,True,True,1.2881276533638004e-08,1
2.88,0.0,0.25591632703167205,0.0,fixed,False,False,0.255916327031672,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/random_k3_w1_s1_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,random_k3_w1_s1_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,importance,1,random,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,13685280000,3502286592,True,True,1.2885936107850523e-08,1
2.88,0.0,0.25958800462979204,0.0,fixed,False,False,0.25958800462979204,25,/home/iiserver31/projects/FedE4RAG-main/V6/outputs/pprag_fl_v6/v6_main/num5_dir_a03_imb00_ts0_v6/random_k3_w1_s2_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,random_k3_w1_s2_enc0_score-importance_budget-fixed_hist5_client1_block1_hard1_util1,importance,2,random,v6_main,num5_dir_a03_imb00_ts0_v6,3,0.0,13685280000,3552534528,True,True,1.2735476409634792e-08,1
