method,n,alpha,seed,avg_budget_topk_hp1,budget_std_hp1,rare_client_budget_hp1,bridge_block_recall_hp1,early_evidence_recall_hp1,target_block_recall_hp1,selection_diversity_hp1,hp1_multihop_score,event_count,avg_topk,budget_std
adaptive_v6,5,0.3,2.0,3.0,0.0,3.0,0.588363636363637,0.0,0.2941818181818185,0.42000000000000004,0.41346181818181843,55.0,3.0,0.0
agent_bsp_bandit_reader,5,0.3,2.0,3.0,0.0,3.0,0.38690909090909054,0.34545454545454546,0.3661818181818181,0.8800000000000001,0.5339854545454544,55.0,3.0,0.0
agent_bsp_bandit_retrieval,5,0.3,2.0,3.0,0.0,3.0,0.38690909090909054,0.34545454545454546,0.3661818181818181,0.8800000000000001,0.5339854545454544,55.0,3.0,0.0
agent_bsp_bandit_strict,5,0.3,2.0,3.0,0.0,3.0,0.38690909090909054,0.34545454545454546,0.3661818181818181,0.8800000000000001,0.5339854545454544,55.0,3.0,0.0
agent_bsp_memory_bandit_no_failure_state,5,0.3,2.0,3.0,0.0,3.0,0.37381818181818155,0.3636363636363635,0.3687272727272727,0.8800000000000001,0.5345163636363635,55.0,3.0,0.0
agent_bsp_memory_bandit_no_history_state,5,0.3,2.0,3.0,0.0,3.0,0.5360000000000005,0.19999999999999987,0.36799999999999994,0.45999999999999996,0.46304000000000006,55.0,3.0,0.0
agent_bsp_memory_bandit_no_instability_state,5,0.3,2.0,3.0,0.0,3.0,0.36872727272727257,0.38181818181818167,0.3752727272727272,0.9,0.5421672727272726,55.0,3.0,0.0
agent_bsp_memory_bandit_no_rarity_state,5,0.3,2.0,3.0,0.0,3.0,0.41236363636363615,0.3810909090909089,0.3967272727272725,0.8400000000000001,0.5469599999999999,55.0,3.0,0.0
agent_bsp_memory_bandit_reader,10,0.3,2.0,3.0,0.0,3.0,0.41163636363636336,0.38181818181818167,0.3967272727272725,0.8400000000000001,0.5469018181818182,55.0,3.0,0.0
agent_bsp_memory_bandit_retrieval,15,0.3,2.0,3.0,0.0,3.0,0.41163636363636336,0.38181818181818167,0.3967272727272725,0.8400000000000001,0.546901818181818,55.0,3.0,0.0
agent_bsp_memory_bandit_strict,10,0.3,2.0,3.0,0.0,3.0,0.41163636363636336,0.38181818181818167,0.3967272727272725,0.8400000000000001,0.5469018181818182,55.0,3.0,0.0
agent_pm_bandit_slot,5,0.3,2.0,3.0,0.0,3.0,0.42909090909090875,0.3636363636363635,0.39636363636363614,0.8400000000000001,0.548072727272727,55.0,3.0,0.0
agent_pm_dynamic_full,5,0.3,2.0,3.0,0.0,3.0,0.43272727272727235,0.3636363636363635,0.39818181818181797,0.6399999999999999,0.5094909090909089,55.0,3.0,0.0
agent_pm_dynamic_no_memory,5,0.3,2.0,3.0,0.0,3.0,0.4021818181818178,0.34545454545454546,0.3738181818181817,0.86,0.5359418181818181,55.0,3.0,0.0
agent_rule_v7,5,0.3,2.0,3.0,0.0,3.0,0.5985454545454552,0.19999999999999987,0.39927272727272706,0.54,0.5034327272727275,55.0,3.0,0.0
agent_rule_v7_dynamic,5,0.3,2.0,3.0,0.0,3.0,0.43636363636363595,0.3636363636363635,0.39999999999999974,0.7,0.5229090909090908,55.0,3.0,0.0
hypernet_v6,5,0.3,2.0,3.0,0.0,3.0,0.588363636363637,0.0,0.2941818181818185,0.42000000000000004,0.41346181818181843,55.0,3.0,0.0
