method,n,answer_em_mean,answer_em_std,answer_f1_mean,answer_f1_std,sp_em_mean,sp_em_std,sp_f1_mean,sp_f1_std,joint_em_mean,joint_em_std,joint_f1_mean,joint_f1_std,support_title_recall_at_k_mean,support_title_recall_at_k_std
agent_dynamic_no_bridge_guard,5,0.5762,0.00044721359549995833,0.6536608747247794,8.944271910003138e-05,0.209,0.0,0.5065,0.0,0.11300000000000002,1.5515838457795457e-17,0.3315276324278607,0.0,0.7445,0.0
agent_dynamic_no_hardness,5,0.577,0.0,0.6538208747247795,0.0,0.20800000000000002,3.1031676915590914e-17,0.506,0.0,0.11300000000000002,1.5515838457795457e-17,0.3313276324278607,0.0,0.744,0.0
agent_dynamic_no_rarity,5,0.5762,0.00044721359549995833,0.6536608747247794,8.944271910003138e-05,0.2088,0.00044721359549995833,0.5064,0.00022360679774995434,0.11300000000000002,1.5515838457795457e-17,0.3314876324278607,8.944271910000657e-05,0.7444000000000001,0.000223606797750004
agent_dynamic_slot,5,0.5762,0.00044721359549995833,0.6536608747247794,8.944271910003138e-05,0.209,0.0,0.5065,0.0,0.11300000000000002,1.5515838457795457e-17,0.3315276324278607,0.0,0.7445,0.0
agent_fixed_slot_0,5,0.5773999999999999,0.0005477225575051667,0.6541700810739857,0.00018257418583509605,0.20800000000000002,3.1031676915590914e-17,0.506,0.0,0.11300000000000002,1.5515838457795457e-17,0.3310022356024638,9.128709291751764e-05,0.7439,0.0002236067977499543
agent_fixed_slot_1,5,0.577,0.0,0.6538208747247795,0.0,0.20800000000000002,3.1031676915590914e-17,0.506,0.0,0.11300000000000002,1.5515838457795457e-17,0.3313276324278607,0.0,0.744,0.0
agent_fixed_slot_2,5,0.576,0.0,0.6536208747247794,0.0,0.2084,0.0005477225575051665,0.5062,0.0002738612787525529,0.11300000000000002,1.5515838457795457e-17,0.3315276324278607,0.0,0.7445,0.0
agent_fixed_slot_3,5,0.577,0.0,0.6529208747247793,0.0,0.207,0.0,0.5045,0.0,0.11400000000000002,1.5515838457795457e-17,0.3302776324278607,0.0,0.7455,0.0
agent_pm_bandit_slot,5,0.576,0.0,0.6536208747247794,0.0,0.2084,0.0005477225575051665,0.5062,0.0002738612787525529,0.11300000000000002,1.5515838457795457e-17,0.3315276324278607,0.0,0.7445,0.0
agent_pm_dynamic_full,15,0.5761999999999999,0.00041403933560541287,0.6536608747247795,8.280786712111937e-05,0.20900000000000002,2.872975021810196e-17,0.5065,0.0,0.113,0.0,0.3315276324278607,0.0,0.7445000000000002,1.1491900087240784e-16
agent_pm_dynamic_no_failure_memory,5,0.5758,0.0004472135954999583,0.6534208747247794,0.0004472135954999583,0.20800000000000002,0.0010000000000000009,0.5058999999999999,0.0006519202405202484,0.11300000000000002,1.5515838457795457e-17,0.3312476324278607,0.0005215361924162258,0.7444,0.00022360679775000397
agent_pm_dynamic_no_instability_penalty,5,0.5762,0.00044721359549995833,0.6536608747247794,8.944271910003138e-05,0.209,0.0,0.5065,0.0,0.11300000000000002,1.5515838457795457e-17,0.3315276324278607,0.0,0.7445,0.0
agent_pm_dynamic_no_memory,5,0.5761999999999999,0.00044721359549995833,0.653127541391446,0.00045769146974954377,0.2082,0.0008366600265340763,0.5058999999999999,0.0006519202405202484,0.11300000000000002,1.5515838457795457e-17,0.33094096576119403,0.00013179670090852327,0.7443000000000001,0.00027386127875261374
agent_pm_dynamic_no_rarity_memory,5,0.5762,0.00044721359549995833,0.6536608747247794,8.944271910003138e-05,0.2088,0.00044721359549995833,0.5064,0.00022360679774995434,0.11300000000000002,1.5515838457795457e-17,0.3314876324278607,8.944271910000657e-05,0.7444000000000001,0.000223606797750004
agent_pm_dynamic_no_utility_ema,5,0.5762,0.00044721359549995833,0.6536608747247794,8.944271910003138e-05,0.209,0.0,0.5065,0.0,0.11300000000000002,1.5515838457795457e-17,0.3315276324278607,0.0,0.7445,0.0
agent_rule_v7,15,0.5763333333333331,0.00048795003647426704,0.6536875413914461,9.759000729489676e-05,0.20866666666666672,0.00048795003647426704,0.5063333333333334,0.0002439750182371064,0.113,0.0,0.33146096576119405,9.759000729486966e-05,0.7443333333333334,0.0002439750182371606
hypernet_v6,10,0.5780000000000001,1.1702778228589004e-16,0.6539700810739857,0.00034426518632956756,0.20800000000000002,2.925694557147251e-17,0.506,0.0,0.11300000000000002,1.4628472785736255e-17,0.3309022356024638,0.0001721325931647551,0.7437,0.00025819888974713264
