method,agent_profile,n,early_recall,bridge_recall,target_recall,diversity,hp1_score,avg_topk,budget_std
adaptive_v6,hp1_baseline_adaptive_v6,5,0.0,0.588363636363637,0.29418181818181843,0.42000000000000004,0.4134618181818183,3.0,0.0
agent_dynamic_no_bridge_guard,v7pm_dynamic_no_bridge_guard,5,0.3636363636363635,0.4327272727272723,0.3981818181818179,0.6399999999999999,0.5094909090909089,3.0,0.0
agent_dynamic_no_hardness,v7pm_dynamic_no_hardness,5,0.1999999999999998,0.5956363636363642,0.39781818181818157,0.48,0.49029818181818197,3.0,0.0
agent_dynamic_no_rarity,v7pm_dynamic_no_rarity,5,0.3454545454545454,0.45090909090909037,0.3981818181818179,0.6199999999999999,0.5069454545454544,3.0,0.0
agent_dynamic_slot,v7pm_dynamic_slot,5,0.3636363636363635,0.4327272727272723,0.3981818181818179,0.6399999999999999,0.5094909090909089,3.0,0.0
agent_fixed_slot_0,v7pm_fixed_slot_0,5,0.0,0.6312727272727279,0.3156363636363639,0.5,0.4461963636363639,3.0,0.0
agent_fixed_slot_1,v7pm_fixed_slot_1,5,0.1999999999999998,0.5956363636363642,0.39781818181818157,0.48,0.49029818181818197,3.0,0.0
agent_fixed_slot_2,v7pm_fixed_slot_2,5,0.3999999999999997,0.399272727272727,0.39963636363636335,0.5599999999999999,0.4917163636363634,3.0,0.0
agent_fixed_slot_3,v7pm_fixed_slot_3,5,0.6000000000000006,0.1999999999999998,0.3999999999999997,0.5599999999999999,0.4760000000000001,3.0,0.0
agent_pm_bandit_slot,v7pm_bandit_slot_ucb_proxy,5,0.3636363636363635,0.42909090909090863,0.39636363636363614,0.8400000000000001,0.548072727272727,3.0,0.0
agent_pm_dynamic_full,v7pm_planning_memory_full,15,0.3636363636363635,0.4327272727272723,0.3981818181818179,0.64,0.5094909090909089,3.0,0.0
agent_pm_dynamic_no_failure_memory,v7pm_no_failure_memory,5,0.3636363636363635,0.39199999999999974,0.3778181818181816,0.76,0.5176072727272726,3.0,0.0
agent_pm_dynamic_no_instability_penalty,v7pm_no_instability,5,0.3636363636363635,0.41745454545454513,0.39054545454545436,0.7,0.5155345454545452,3.0,0.0
agent_pm_dynamic_no_memory,v7pm_no_memory,5,0.3454545454545454,0.4021818181818178,0.37381818181818166,0.86,0.5359418181818181,3.0,0.0
agent_pm_dynamic_no_rarity_memory,v7pm_no_rarity_memory,5,0.3454545454545454,0.45090909090909037,0.3981818181818179,0.6199999999999999,0.5069454545454544,3.0,0.0
agent_pm_dynamic_no_utility_ema,v7pm_no_utility_ema,5,0.3636363636363635,0.4327272727272723,0.3981818181818179,0.6399999999999999,0.5094909090909089,3.0,0.0
agent_rule_v7,v7agent_rule_early_hardquery,5,0.1999999999999998,0.5985454545454552,0.39927272727272695,0.54,0.5034327272727274,3.0,0.0
agent_rule_v7_dynamic,v7agentpm_rule_dynamic,10,0.3636363636363635,0.4363636363636359,0.3999999999999997,0.7,0.5229090909090908,3.0,0.0
hypernet_v6,hp1_baseline_hypernet_v6,5,0.0,0.588363636363637,0.29418181818181843,0.42000000000000004,0.4134618181818183,3.0,0.0
